date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:31	185/185	---M-Z	302	error ('Found')	text/html	date:Thu,%2022%20Jun%202017%2012:18:32%20GMT	http://m.11st.co.kr/robots.txt		(from )
21:18:33	83545/83545	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2012:18:31%20GMT	http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall	//psf/Home/Desktop/creatorplanet/sideMenu/m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.html	(from )
21:18:33	97243/97243	---M-Z	200	added ('OK')	text/css	etag:%2259423b4b:449c%22	http://c.m.011st.com/MW/css/skpui/skpui.min.css	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/css/skpui/skpui.min.css	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:34	5407/5407	---M-Z	200	added ('OK')	text/css	etag:%2259422c45:538%22	http://c.m.011st.com/MW/css/category/sidemenu.min.css	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/css/category/sidemenu.min.css	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:34	3722/3722	---M-Z	200	added ('OK')	text/javascript	etag:%2258c8db82:421%22	http://c.m.011st.com/MW/js/common/util/handlebars.helper.js	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/js/common/util/handlebars.helper.js	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:35	6538/6538	---M-Z	200	added ('OK')	text/javascript	etag:%225949ddfc:678%22	http://c.m.011st.com/MW/js/lego/lego.js	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/js/lego/lego.js	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:36	38745/38745	---M-Z	200	added ('OK')	text/javascript	etag:%2258a16cb4:2e44%22	http://c.m.011st.com/MW/js/lib/handlebars.js	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/js/lib/handlebars.js	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:36	84245/84245	---M-Z	200	added ('OK')	text/javascript	etag:%2258a16c9c:7339%22	http://c.m.011st.com/MW/Common/js/jquery-2.1.1.min.js	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/Common/js/jquery-2.1.1.min.js	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:36	49859/49859	---M-Z	200	added ('OK')	text/javascript	etag:%2258d4414a:2bfb%22	http://c.m.011st.com/MW/js/lib/iscroll5.js	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/js/lib/iscroll5.js	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:36	4369/4369	---M--	200	added ('OK')	image/png	etag:%2258a115b5:1111%22	http://c.m.011st.com/MW/img/order/img_form.png	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/img/order/img_form.png	(from http://c.m.011st.com/MW/css/skpui/skpui.min.css)
21:18:37	74995/74995	---M-Z	200	added ('OK')	text/javascript	etag:%2259026752:377c%22	http://c.m.011st.com/MW/js/skpui/skpui.js	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/js/skpui/skpui.js	(from http://m.11st.co.kr/MW/api/app/elevenst/menu/sideMenu.tmall)
21:18:37	12286/12286	---M--	200	added ('OK')	image/png	etag:%225912bef1:2ffe%22	http://c.m.011st.com/MW/img/category/sprites/sp_sidebar_common.png	//psf/Home/Desktop/creatorplanet/sideMenu/c.m.011st.com/MW/img/category/sprites/sp_sidebar_common.png	(from http://c.m.011st.com/MW/css/category/sidemenu.min.css)
